"codigo","data","motorPressaoSkidA","motorPressaoSkidB","motorTransferenciaSkidA","motorTransferenciaSkidB","motorVacuo","portaUsina","status","usinada"
301,"2016-05-12 14:32:09",1,0,0,0,0,1,"pressao",
302,"2016-05-12 14:32:52",1,0,0,0,0,0,"pressao",
303,"2016-05-12 14:32:59",1,0,0,0,0,1,"pressao",
304,"2016-05-12 14:33:49",1,0,0,0,0,0,"pressao",
305,"2016-05-12 14:34:09",1,0,0,0,0,1,"pressao",
306,"2016-05-12 14:36:29",1,0,0,0,0,0,"pressao",
307,"2016-05-12 14:36:39",1,0,0,0,0,1,"pressao",
308,"2016-05-12 14:36:59",1,0,0,0,0,0,"pressao",
309,"2016-05-12 14:37:09",1,0,0,0,0,1,"pressao",
310,"2016-05-12 14:38:29",1,0,0,0,0,0,"pressao",
311,"2016-05-12 14:38:49",1,0,0,0,0,1,"pressao",
312,"2016-05-12 14:39:19",1,0,0,0,0,0,"pressao",
313,"2016-05-12 14:39:29",1,0,0,0,0,1,"pressao",
314,"2016-05-12 14:40:29",1,0,0,0,0,0,"pressao",
315,"2016-05-12 14:40:59",1,0,0,0,0,1,"pressao",
316,"2016-05-12 14:41:39",1,0,0,0,0,0,"pressao",
317,"2016-05-12 14:41:49",1,0,0,0,0,1,"pressao",
318,"2016-05-12 14:42:39",1,0,0,0,0,0,"pressao",
319,"2016-05-12 14:42:59",1,0,0,0,0,1,"pressao",
320,"2016-05-12 14:48:29",1,0,0,0,0,0,"pressao",
321,"2016-05-12 14:48:39",1,0,0,0,0,1,"pressao",
322,"2016-05-12 14:51:29",1,0,0,0,0,0,"pressao",
323,"2016-05-12 14:51:39",1,0,0,0,0,1,"pressao",
324,"2016-05-12 14:53:39",1,0,0,0,0,0,"pressao",
325,"2016-05-12 14:53:49",1,0,0,0,0,1,"pressao",
326,"2016-05-12 14:54:39",1,0,0,0,0,0,"pressao",
327,"2016-05-12 14:54:49",1,0,0,0,0,1,"pressao",
328,"2016-05-12 14:56:19",1,0,0,0,0,0,"pressao",
329,"2016-05-12 14:56:29",1,0,0,0,0,1,"pressao",
330,"2016-05-12 14:56:59",1,0,0,0,0,0,"pressao",
331,"2016-05-12 14:57:09",1,0,0,0,0,1,"pressao",
332,"2016-05-12 14:57:49",1,0,0,0,0,0,"pressao",
333,"2016-05-12 14:57:59",1,0,0,0,0,1,"pressao",
334,"2016-05-12 14:58:49",1,0,0,0,0,0,"pressao",
335,"2016-05-12 14:58:59",1,0,0,0,0,1,"pressao",
336,"2016-05-12 15:00:29",1,0,0,0,0,0,"pressao",
337,"2016-05-12 15:00:42",1,0,0,0,0,1,"pressao",
338,"2016-05-12 15:01:39",1,0,0,0,0,0,"pressao",
339,"2016-05-12 15:01:59",1,0,0,0,0,1,"pressao",
340,"2016-05-12 15:02:09",1,0,0,0,0,0,"pressao",
341,"2016-05-12 15:02:49",1,0,0,0,0,1,"pressao",
342,"2016-05-12 15:04:19",1,0,0,0,0,0,"pressao",
343,"2016-05-12 15:04:49",0,0,1,0,0,0,"enchimento",
344,"2016-05-12 15:04:59",0,0,1,0,0,1,"enchimento",
345,"2016-05-12 15:06:09",0,0,1,0,0,0,"enchimento",
346,"2016-05-12 15:06:39",0,0,1,0,0,1,"enchimento",
347,"2016-05-12 15:08:09",0,0,1,0,0,0,"enchimento",
348,"2016-05-12 15:08:32",0,0,1,0,0,1,"enchimento",
349,"2016-05-12 15:10:09",0,0,1,0,0,0,"enchimento",
350,"2016-05-12 15:10:19",0,0,1,0,1,1,"enchimento",
351,"2016-05-12 15:10:29",0,0,0,0,1,1,"vacuoInicial",
352,"2016-05-12 15:10:39",0,0,0,0,1,0,"null",
353,"2016-05-12 15:10:49",0,0,0,0,1,1,"vacuoInicial",
354,"2016-05-12 15:40:29",0,0,1,0,1,1,"enchimento",
355,"2016-05-12 15:40:39",0,0,1,0,0,1,"enchimento",
356,"2016-05-12 15:40:59",0,0,0,0,0,1,"FechamentoDeporta",
357,"2016-05-12 15:42:29",0,0,0,0,0,0,"(AberturaDePorta)",
358,"2016-05-12 15:42:39",0,0,0,0,0,1,"FechamentoDeporta",
359,"2016-05-12 15:43:19",0,0,0,0,0,0,"(AberturaDePorta)",
360,"2016-05-12 15:43:29",0,0,0,0,0,1,"FechamentoDeporta",
361,"2016-05-12 15:54:49",0,0,0,0,1,1,"vacuoInicial",
362,"2016-05-12 16:02:49",0,0,0,0,1,0,"null",
363,"2016-05-12 16:02:59",0,0,0,0,1,1,"vacuoInicial",
364,"2016-05-12 16:12:19",0,0,1,0,1,1,"enchimento",
365,"2016-05-12 16:12:29",0,0,1,0,0,1,"enchimento",
366,"2016-05-12 16:15:09",0,0,1,0,0,0,"enchimento",
367,"2016-05-12 16:15:19",0,0,1,0,0,1,"enchimento",
368,"2016-05-12 16:15:59",0,0,1,0,0,0,"enchimento",
369,"2016-05-12 16:16:19",0,0,1,0,0,1,"enchimento",
370,"2016-05-12 16:16:39",0,0,1,0,0,0,"enchimento",
371,"2016-05-12 16:16:59",0,0,0,0,0,1,"FechamentoDeporta",
372,"2016-05-12 16:17:19",1,0,0,0,0,1,"pressao",
373,"2016-05-12 16:17:39",1,0,0,0,0,0,"pressao",
374,"2016-05-12 16:17:59",1,0,0,0,0,1,"pressao",
375,"2016-05-12 16:18:09",1,0,0,0,0,0,"pressao",
376,"2016-05-12 16:18:19",1,0,0,0,0,1,"pressao",
377,"2016-05-12 16:19:09",1,0,0,0,0,0,"pressao",
378,"2016-05-12 16:19:39",1,0,0,0,0,1,"pressao",
379,"2016-05-12 16:21:39",1,0,0,0,0,0,"pressao",
380,"2016-05-12 16:21:49",1,0,0,0,0,1,"pressao",
381,"2016-05-12 16:22:19",1,0,0,0,0,0,"pressao",
